"Date","Time","Open","High","Low","Close","Volume"
07/14/2010,1029,162.32,162.32,162.32,162.32,400
07/14/2010,1030,162.32,162.32,162.32,162.32,100
07/14/2010,1031,161.92,161.92,161.92,161.92,400
07/14/2010,1032,162,162,161.84,161.88,400
07/14/2010,1033,161.88,161.88,161.68,161.68,400
07/14/2010,1034,161.44,161.44,161.16,161.16,300
07/14/2010,1035,161.52,161.52,161.52,161.52,100
07/14/2010,1036,161.52,161.72,161.52,161.72,500
07/14/2010,1037,161.72,161.72,161.72,161.72,200
07/14/2010,1038,162,162,161.92,161.92,400
07/14/2010,1039,161.84,161.84,161.84,161.84,300
07/14/2010,1040,161.76,161.76,161.68,161.68,300
07/14/2010,1041,161.72,161.72,161.56,161.56,400
07/14/2010,1043,161.36,161.36,161.04,161.04,700
07/14/2010,1044,160.96,160.96,160.96,160.96,200
07/14/2010,1045,160.64,160.64,160.4,160.4,200
07/14/2010,1046,160.4,160.4,159.72,159.72,500
07/14/2010,1047,159.64,159.64,159.64,159.64,100
07/14/2010,1048,159.72,159.72,159.72,159.72,600
07/14/2010,1049,159.84,159.84,159.8,159.8,300
07/14/2010,1050,159.84,159.84,159.84,159.84,200
07/14/2010,1051,159.68,159.72,159.68,159.72,500
07/14/2010,1052,159.8,159.8,159.8,159.8,300
07/14/2010,1053,160,160,160,160,300
07/14/2010,1055,160.24,160.36,160.24,160.36,600
07/14/2010,1056,160.6,160.6,160.6,160.6,100
07/14/2010,1057,160.72,160.72,160.4,160.4,500
07/14/2010,1058,160.56,160.56,160.56,160.56,200
07/14/2010,1059,160.48,160.48,160.48,160.48,700
07/14/2010,1111,159,159,158.96,158.96,400
07/14/2010,1112,158.8,158.8,158.4,158.44,600
07/14/2010,1113,158.48,158.48,158.4,158.4,300
07/14/2010,1114,158.44,158.44,158.44,158.44,500
07/14/2010,1115,158.28,158.28,158.08,158.08,700
07/14/2010,1116,157.84,157.84,157.68,157.84,500
07/14/2010,1117,157.6,157.6,157.36,157.36,400
07/14/2010,1118,157.36,157.6,157.36,157.44,800
07/14/2010,1119,157.52,157.52,157.52,157.52,200
07/14/2010,1120,157.4,157.44,157.4,157.44,500
07/14/2010,1121,157.56,157.56,157.56,157.56,400
07/14/2010,1122,157.56,157.56,157.56,157.56,500
07/14/2010,1123,157.36,157.36,157.2,157.2,500
07/14/2010,1124,157,157,157,157,400
07/14/2010,1125,156.96,157.2,156.96,157.2,1000
07/14/2010,1126,157.2,157.24,157.2,157.24,600
07/14/2010,1127,157.24,157.56,157.24,157.52,300
07/14/2010,1128,157.52,157.52,157.32,157.32,400
07/14/2010,1129,157.16,157.16,156.4,157.08,1000
07/14/2010,1137,157.96,157.96,157.96,157.96,400
07/14/2010,1144,157.4,157.4,157.4,157.4,5400
