Date,Time,Open,High,Low,Close,Volume
07/14/2010,1029,162.32,162.32,161.68,161.68,1700
07/14/2010,1034,161.44,162.0,161.16,161.92,1500
07/14/2010,1039,161.84,161.84,160.96,160.96,1900
07/14/2010,1045,160.64,160.64,159.64,159.8,1700
07/14/2010,1050,159.84,160.36,159.68,160.36,1900
07/14/2010,1056,160.6,160.72,158.96,158.96,1900
07/14/2010,1112,158.8,158.8,157.68,157.84,2600
07/14/2010,1117,157.6,157.6,157.36,157.56,2300
07/14/2010,1122,157.56,157.56,156.96,157.24,3000
07/14/2010,1127,157.24,157.96,156.4,157.4,7500
07/14/2010,1158,157.52,158.72,157.52,158.68,12300
07/14/2010,1224,158.16,158.48,157.52,157.52,7300
07/14/2010,1248,158.0,159.0,157.96,158.4,14100
07/14/2010,1321,158.4,161.24,157.96,161.24,10900
07/14/2010,1419,161.04,161.36,161.04,161.28,10700
07/14/2010,1456,161.08,161.16,160.16,160.28,5200
07/14/2010,1521,160.28,160.28,159.88,159.88,1800
07/14/2010,1526,159.84,160.76,159.84,160.44,2400
07/14/2010,1533,160.52,160.64,160.28,160.52,3400
07/14/2010,1539,160.48,161.36,160.48,161.2,4800
07/14/2010,1544,161.2,161.4,159.72,159.72,7500
07/14/2010,1550,159.64,159.96,159.44,159.6,10100
07/14/2010,1555,159.6,162.68,159.24,162.68,5300
07/15/2010,0931,159.64,160.96,159.64,160.36,1300
07/15/2010,0936,160.56,161.28,160.36,161.12,1800
07/15/2010,0942,161.16,161.96,161.16,161.8,2000
07/15/2010,0949,161.96,161.96,161.04,161.2,1900
07/15/2010,0956,161.12,161.6,160.88,161.6,1500
07/15/2010,1002,162.52,163.56,162.44,163.56,1900
07/15/2010,1010,164.0,166.2,164.0,165.56,1900
07/15/2010,1024,165.36,165.36,164.76,164.76,1500
07/15/2010,1029,164.6,164.6,164.24,164.24,2200
07/15/2010,1035,164.16,164.28,163.12,163.12,1900
07/15/2010,1041,163.12,163.84,163.12,163.76,2100
07/15/2010,1046,163.72,163.88,162.56,162.56,1900
07/15/2010,1051,162.8,163.04,162.32,162.32,2100
07/15/2010,1058,162.24,162.56,162.08,162.08,2200
07/15/2010,1116,162.04,162.64,162.04,162.64,1100
07/15/2010,1121,162.44,162.52,162.2,162.2,1500
07/15/2010,1127,162.08,162.08,161.72,161.8,800
07/15/2010,1132,161.84,162.36,161.84,162.24,1400
07/15/2010,1137,162.12,162.28,161.68,161.68,1300
07/15/2010,1145,161.64,162.44,161.64,162.28,2100
07/15/2010,1152,162.36,162.8,162.36,162.8,1500
07/15/2010,1158,162.96,162.96,162.68,162.92,800
07/15/2010,1204,163.08,163.12,162.88,163.08,1900
07/15/2010,1210,163.28,163.28,163.12,163.16,1100
07/15/2010,1215,163.16,163.32,163.08,163.32,1200
07/15/2010,1220,163.56,164.44,163.56,164.28,1300
07/15/2010,1226,164.28,164.6,164.28,164.6,1100
07/15/2010,1231,164.68,164.72,164.52,164.72,1500
07/15/2010,1237,164.8,164.88,164.8,164.84,1000
07/15/2010,1243,164.8,164.84,164.52,164.52,1100
07/15/2010,1249,164.48,164.56,163.96,163.96,1600
07/15/2010,1255,163.68,164.16,163.64,163.88,4800
07/15/2010,1323,163.08,163.56,162.28,162.28,12300
07/15/2010,1449,162.04,163.12,162.04,163.12,17400
07/15/2010,1517,163.32,163.6,161.72,161.72,9000
07/15/2010,1539,160.68,160.68,157.88,158.24,12300
