Date,Time,Open,High,Low,Close,Volume
10/21/2015,0944,58.68,59.62,55.74,57.9,6328925
10/21/2015,0949,57.9,58.06,55.84,55.9,1683896
10/21/2015,0954,55.85,55.92,54.37,54.63,1585119
10/21/2015,0959,54.63,55.06,53.94,54.49,1338146
10/21/2015,1004,54.5,55.19,54.16,55.03,833424
10/21/2015,1009,54.91,55.25,54.12,55.2,696227
10/21/2015,1014,55.17,55.74,54.94,55.7,460395
10/21/2015,1019,55.65,55.94,55.31,55.7,253376
10/21/2015,1024,55.69,55.74,55.15,55.64,223187
10/21/2015,1029,55.64,55.69,54.92,54.95,189078
10/21/2015,1034,54.95,55.2,54.77,55.12,345817
10/21/2015,1039,55.09,55.3,55.06,55.15,227420
10/21/2015,1044,55.17,55.96,55.11,55.92,269942
10/21/2015,1049,55.92,56.23,55.66,56.04,276719
10/21/2015,1054,56.12,56.47,55.84,56.47,285823
10/21/2015,1059,56.42,56.52,56.0,56.23,209246
10/21/2015,1104,56.23,56.26,55.74,55.83,138192
10/21/2015,1109,55.77,55.85,54.9,55.06,226271
10/21/2015,1114,55.02,55.6,54.88,55.55,120925
10/21/2015,1119,55.56,55.76,55.38,55.5,100361
10/21/2015,1124,55.54,55.84,55.51,55.83,80158
10/21/2015,1129,55.81,55.84,55.6,55.74,68238
10/21/2015,1134,55.74,55.75,55.55,55.74,59924
10/21/2015,1139,55.74,55.75,55.64,55.74,112860
10/21/2015,1144,55.74,55.74,55.64,55.67,34989
10/21/2015,1149,55.69,55.73,55.05,55.25,122640
10/21/2015,1154,55.25,55.25,54.78,54.95,109525
10/21/2015,1159,54.88,55.2,54.88,55.1,67058
10/21/2015,1204,55.02,55.02,54.77,54.79,70436
10/21/2015,1209,54.82,55.4,54.52,55.05,285442
10/21/2015,1214,55.04,55.1,54.82,55.05,61752
10/21/2015,1219,55.07,55.25,54.99,55.17,40928
10/21/2015,1224,55.2,55.24,54.96,54.98,26222
10/21/2015,1229,54.99,55.15,54.95,55.11,37137
10/21/2015,1234,55.08,55.25,54.9,54.96,58564
10/21/2015,1239,54.93,55.08,54.91,54.98,25722
10/21/2015,1244,55.0,55.03,54.9,54.96,25053
10/21/2015,1249,54.97,55.0,54.6,54.6,125645
10/21/2015,1254,54.75,54.82,54.61,54.73,66725
